,ssThresh,cWnd,segmentsAcked,segmentSize,bytesInFlight,caState,caEvent,loss
0,4294967295,3400,1,340,0,0,0,0
1,4294967295,3740,2,340,0,0,0,0
2,4294967295,4080,2,340,0,0,0,0
3,4294967295,4420,2,340,0,0,0,0
4,4294967295,4760,2,340,0,0,0,0
5,4294967295,5100,2,340,0,0,0,0
6,4294967295,5440,2,340,0,0,0,0
7,4294967295,5780,2,340,0,0,0,0
8,4294967295,6120,2,340,0,0,0,0
9,4294967295,6460,2,340,0,0,0,0
10,4294967295,6800,2,340,0,0,0,0
11,4294967295,7140,2,340,0,0,0,0
12,4294967295,7480,2,340,0,0,0,0
13,4294967295,7820,2,340,0,0,0,0
14,4294967295,8160,2,340,0,0,0,0
15,4294967295,8500,2,340,0,0,0,0
16,4294967295,8840,2,340,0,0,0,0
17,4294967295,9180,2,340,0,0,0,0
18,4294967295,9520,2,340,0,0,0,0
19,4294967295,9860,2,340,0,0,0,0
20,4294967295,10200,2,340,0,0,0,0
21,4294967295,10540,2,340,0,0,0,0
22,4294967295,10880,2,340,0,0,0,0
23,4294967295,11220,2,340,0,0,0,0
24,4294967295,11560,2,340,0,0,0,0
25,4294967295,11900,2,340,0,0,0,0
26,4294967295,12240,2,340,0,0,0,0
27,4294967295,12580,2,340,0,0,0,0
28,4294967295,12920,2,340,0,0,0,0
29,4294967295,13260,2,340,0,0,0,0
30,4294967295,13600,2,340,0,0,0,0
31,4294967295,13940,2,340,0,0,0,0
32,4294967295,14280,2,340,0,0,0,0
33,4294967295,14620,2,340,0,0,0,0
34,4294967295,14960,2,340,0,0,0,0
35,4294967295,15300,2,340,0,0,0,0
36,4294967295,15640,2,340,0,0,0,0
37,4294967295,15980,2,340,0,0,0,0
38,4294967295,16320,2,340,0,0,0,0
39,4294967295,16660,2,340,0,0,0,0
40,4294967295,17000,2,340,0,0,0,0
41,4294967295,17340,2,340,0,0,0,0
42,4294967295,17680,2,340,0,0,0,0
43,4294967295,18020,2,340,0,0,0,0
44,4294967295,18360,2,340,0,0,0,0
45,4294967295,18700,2,340,0,0,0,0
46,4294967295,19040,2,340,0,0,0,0
47,4294967295,19380,2,340,0,0,0,0
48,4294967295,19720,2,340,0,0,0,0
49,4294967295,20060,2,340,0,0,0,0
50,4294967295,20400,2,340,0,0,0,0
51,4294967295,20740,2,340,0,0,0,0
52,4294967295,21080,2,340,0,0,0,0
53,4294967295,21420,2,340,0,0,0,0
54,4294967295,21760,2,340,0,0,0,0
55,4294967295,22100,2,340,0,0,0,0
56,4294967295,22440,2,340,0,0,0,0
57,4294967295,22780,2,340,0,0,0,0
58,4294967295,23120,2,340,0,0,0,0
59,4294967295,23460,2,340,0,0,0,0
60,4294967295,23800,2,340,0,0,0,0
61,4294967295,24140,2,340,0,0,0,0
62,4294967295,24480,2,340,0,0,0,0
63,4294967295,24820,2,340,0,0,0,0
64,4294967295,25160,2,340,0,0,0,0
65,4294967295,25500,2,340,0,0,0,0
66,4294967295,25840,2,340,0,0,0,0
67,4294967295,26180,2,340,0,0,0,0
68,4294967295,26520,2,340,0,0,0,0
69,4294967295,26860,2,340,0,0,0,0
70,4294967295,27200,2,340,0,0,0,0
71,4294967295,27540,2,340,0,0,0,0
72,4294967295,27880,2,340,0,0,0,0
73,4294967295,28220,2,340,0,0,0,0
74,4294967295,28560,2,340,0,0,0,0
75,4294967295,28900,2,340,0,0,0,0
76,4294967295,29240,2,340,0,0,0,0
77,4294967295,29580,2,340,0,0,0,0
78,4294967295,29920,2,340,0,0,0,0
79,4294967295,30260,2,340,0,0,0,0
80,4294967295,30600,2,340,0,0,0,0
81,4294967295,30940,2,340,0,0,0,0
82,4294967295,31280,2,340,0,0,0,0
83,4294967295,31620,2,340,0,0,0,0
84,4294967295,31960,2,340,0,0,0,0
85,4294967295,32300,2,340,0,0,0,0
86,4294967295,32640,2,340,0,0,0,0
87,4294967295,32980,2,340,0,0,0,0
88,4294967295,33320,2,340,0,0,0,0
89,4294967295,33660,2,340,0,0,0,0
90,4294967295,34000,2,340,0,0,0,0
91,4294967295,34340,2,340,0,0,0,0
92,4294967295,34680,2,340,0,0,0,0
93,4294967295,35020,2,340,0,0,0,0
94,4294967295,35360,2,340,0,0,0,0
95,4294967295,35700,2,340,0,0,0,0
96,4294967295,36040,2,340,0,0,0,0
97,4294967295,36380,2,340,0,0,0,0
98,4294967295,36720,2,340,0,0,0,0
